SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
G,50.0,120,16,0.33,9.0,8.6,81.7,26.5,273,9.4,53.3
G,50.0,120,16,0.03,10.7,14.6,84.7,22.5,279,6.1,56.2
G,50.0,120,16,0.37,5.4,1.4,89.1,18.5,272,6.2,57.0
G,50.0,120,16,0.34,7.8,3.3,82.3,22.0,277,9.1,63.0
G,50.0,120,16,0.36,6.9,2.6,82.9,20.5,275,9.5,49.4
G,50.0,120,32,0.40,16.0,20.3,82.3,20.5,287,8.9,48.6
G,50.0,120,32,0.37,15.5,17.2,82.3,22.0,291,7.2,66.8
G,50.0,120,32,0.34,17.4,36.1,82.5,19.0,298,7.8,54.5
G,50.0,120,32,0.41,17.0,16.6,85.1,20.0,296,6.2,53.9
G,50.0,120,32,0.40,15.4,17.9,82.6,22.5,291,10.9,54.0
G,100.0,120,0,0.37,7.4,15.4,78.8,27.5,268,16.2,66.6
G,100.0,120,0,0.38,6.1,10.9,79.8,24.5,269,13.2,75.7
G,100.0,120,0,0.38,6.5,6.0,79.1,25.0,259,13.2,66.3
G,100.0,120,0,0.36,6.0,7.4,85.4,26.5,262,12.3,66.9
G,100.0,120,0,0.40,6.5,7.5,78.1,25.5,291,17.1,62.2
G,100.0,120,0,0.42,3.4,7.1,80.4,23.5,296,17.9,74.1
G,100.0,120,8,0.35,7.4,12.8,80.3,21.5,273,5.8,59.8
G,100.0,120,8,0.40,7.4,4.0,79.6,26.0,278,10.8,60.2
G,100.0,120,8,0.37,7.8,4.7,80.9,20.5,278,6.0,56.6
G,100.0,120,8,0.38,7.6,2.1,80.1,25.0,287,5.1,64.8
G,100.0,120,8,0.42,6.6,2.4,80.0,25.5,281,10.3,73.4
G,100.0,120,8,0.35,7.3,5.4,80.6,24.5,273,7.6,69.5
G,100.0,120,16,0.37,6.1,19.0,79.9,22.0,294,5.6,15.8
G,100.0,120,16,0.40,6.5,19.1,81.0,21.0,276,9.8,65.0
G,100.0,120,16,0.39,6.9,16.1,80.9,20.5,282,7.8,66.0
G,100.0,120,16,0.37,9.5,4.2,80.1,21.0,273,10.7,54.1
G,100.0,120,16,0.43,9.8,3.1,79.2,26.0,310,14.4,75.0
G,100.0,120,16,0.36,7.2,16.1,80.9,23.5,278,11.5,64.8
G,100.0,120,32,0.37,9.4,14.1,80.9,22.0,276,12.4,53.3
G,100.0,120,32,0.43,11.1,6.8,82.0,22.0,316,12.1,56.5
G,100.0,120,32,0.36,15.8,19.7,82.0,21.5,285,10.6,53.0
G,100.0,120,32,0.37,12.2,2.8,82.2,21.5,288,9.2,52.5
G,100.0,120,32,0.41,17.6,28.0,78.6,25.0,287,10.9,57.8
W,12.5,12,0,0.42,5.1,5.3,79.4,20.3,259,16.6,83.7
W,12.5,12,0,0.44,4.7,5.2,77.8,21.0,272,18.0,92.4
W,12.5,12,0,0.44,3.6,4.5,78.8,24.5,261,17.4,93.8
W,12.5,12,0,0.43,5.9,5.2,79.0,23.0,267,13.9,122.0
W,12.5,12,0,0.42,4.6,4.9,78.2,22.8,262,8.1,89.6
W,12.5,12,0,0.45,6.3,4.1,78.6,20.3,261,7.0,94.8
W,12.5,12,8,0.54,4.2,4.1,76.3,22.0,268,12.9,93.0
W,12.5,12,8,0.43,3.2,5.1,78.0,21.5,264,13.5,90.3
W,12.5,12,8,0.43,4.8,5.2,78.6,22.5,268,14.0,93.4
W,12.5,12,8,0.49,4.7,3.1,78.1,25.8,262,14.6,93.8
W,12.5,12,8,0.37,4.7,4.1,76.6,21.5,260,12.0,84.5
W,12.5,12,8,0.50,5.0,5.3,78.0,23.8,267,10.9,95.1
W,12.5,12,16,0.38,4.3,3.9,77.9,23.3,283,7.0,80.3
W,12.5,12,16,0.50,4.0,3.9,76.6,22.5,284,8.4,82.8
W,12.5,12,16,0.45,4.4,4.1,77.3,24.8,278,9.0,98.4
W,12.5,12,16,0.43,3.8,4.0,77.4,23.8,283,8.6,88.5
W,12.5,12,16,0.44,6.2,4.8,76.1,21.3,291,7.5,120.0
W,12.5,12,16,0.49,5.6,4.2,77.4,18.0,290,8.8,105.5
W,12.5,12,24,0.42,4.9,NA,75.7,25.8,323,6.8,145.0
W,12.5,12,24,0.42,3.8,6.1,75.6,25.8,310,9.7,117.5
W,12.5,12,24,0.47,4.1,2.7,76.8,22.0,319,9.0,166.0
W,12.5,12,24,0.47,7.8,4.8,75.1,21.0,320,9.3,163.0
W,12.5,12,24,0.45,2.7,5.0,74.9,23.0,304,6.9,138.0
W,12.5,12,24,0.42,5.1,3.5,75.6,23.5,322,8.9,106.0
W,25.0,12,0,0.41,NA,4.6,78.4,21.0,257,21.5,71.1
W,25.0,12,0,0.45,2.9,5.2,78.7,23.0,262,16.6,72.2
W,25.0,12,0,0.47,5.5,4.3,76.9,21.8,258,11.3,74.8
W,25.0,12,0,0.49,3.3,4.5,78.1,22.0,261,14.3,95.0
W,25.0,12,0,0.49,5.2,NA,78.0,23.5,262,9.8,81.5
W,25.0,12,0,0.61,4.1,5.5,79.6,24.0,259,7.2,68.1
W,25.0,12,8,0.47,3.2,5.4,78.2,22.0,258,11.3,67.4
W,25.0,12,8,0.43,2.5,4.8,78.7,24.0,271,10.8,108.5
W,25.0,12,8,0.50,3.7,5.9,77.9,20.8,266,12.2,88.1
W,25.0,12,8,0.44,4.0,4.4,78.7,19.8,264,9.7,68.3
W,25.0,12,8,0.49,3.3,5.3,78.7,24.5,261,11.9,91.9
W,25.0,12,8,0.50,3.8,4.8,77.8,19.0,274,11.6,108.5
W,25.0,12,16,0.44,2.5,3.9,77.1,23.0,290,12.3,75.9
W,25.0,12,16,0.45,4.8,4.0,77.4,19.3,292,8.4,118.5
W,25.0,12,16,0.42,5.4,3.5,77.3,20.0,290,9.3,119.0
W,25.0,12,16,0.56,5.0,4.4,76.0,18.3,298,11.8,92.0
W,25.0,12,16,0.49,1.7,4.7,76.8,20.8,306,9.9,99.5
W,25.0,12,16,0.52,4.1,3.3,73.3,22.5,295,7.0,83.0
W,25.0,12,24,0.46,3.5,3.7,75.7,19.0,314,7.7,148.5
W,25.0,12,24,0.45,4.5,5.3,76.1,17.5,329,7.4,125.5
W,25.0,12,24,0.44,4.2,4.8,75.5,22.8,317,12.0,137.5
W,25.0,12,24,0.46,3.1,5.1,75.6,24.3,330,8.9,133.5
W,25.0,12,24,0.40,3.8,5.1,76.3,21.5,315,8.8,139.5
W,25.0,12,24,0.41,4.2,4.2,76.3,18.5,309,8.9,129.0
W,50.0,12,0,0.41,5.9,5.8,78.5,20.3,265,21.9,106.5
W,50.0,12,0,0.50,4.0,3.4,77.8,24.5,264,17.7,82.0
W,50.0,12,0,0.45,4.9,3.7,78.3,23.5,263,13.9,92.5
W,50.0,12,0,0.42,3.6,4.9,78.5,22.5,263,11.8,90.2
W,50.0,12,0,0.44,4.3,5.5,78.0,23.3,261,8.5,97.4
W,50.0,12,0,0.54,4.9,4.4,78.5,23.5,268,11.9,80.4
W,50.0,12,8,0.46,5.2,4.2,78.5,22.0,264,14.5,81.0
W,50.0,12,8,0.43,5.3,5.0,77.5,21.0,260,8.8,75.7
W,50.0,12,8,0.49,4.5,4.3,78.4,20.0,274,12.6,85.3
W,50.0,12,8,0.55,4.9,6.7,78.3,22.8,260,14.6,88.8
W,50.0,12,8,0.53,5.4,2.6,77.4,25.0,260,11.1,70.1
